subject,rank,topic,speed,value,quality
phd1,phd,1,fast,213.3,0.699344262
phd1,phd,1,slow,204.5,0.670491803
phd1,phd,2,fast,285.1,0.934754098
phd1,phd,2,slow,259.7,0.85147541
phd1,phd,3,fast,203.9,0.66852459
phd1,phd,3,slow,286.9,0.940655738
phd1,phd,4,fast,250.8,0.822295082
phd1,phd,4,slow,276.8,0.907540984
phd1,phd,5,fast,231.9,0.760327869
phd1,phd,5,slow,252.4,0.827540984
phd1,phd,6,fast,181.2,0.594098361
phd1,phd,6,slow,230.7,0.756393443
phd1,phd,7,slow,216.5,0.709836066
phd1,phd,7,fast,154.8,0.507540984
phd3,phd,1,fast,229.7,0.753114754
phd3,phd,1,slow,237.3,0.778032787
phd3,phd,2,fast,236.8,0.776393443
phd3,phd,2,slow,251,0.82295082
phd3,phd,3,fast,267,0.875409836
phd3,phd,3,slow,266,0.872131148
phd3,phd,4,fast,275.4,0.90295082
phd3,phd,4,slow,306.8,1.005901639
phd3,phd,5,fast,232.6,0.762622951
phd3,phd,5,slow,252.5,0.827868852
phd3,phd,6,fast,226.5,0.742622951
phd3,phd,6,slow,278.8,0.914098361
phd3,phd,7,fast,264.4,0.866885246
phd3,phd,7,slow,185.5,0.608196721
und4,undergrad,1,fast,110.7,0.36295082
und4,undergrad,1,slow,123.6,0.405245902
und4,undergrad,2,fast,229,0.750819672
und4,undergrad,2,slow,114.9,0.376721311
und4,undergrad,3,fast,112.2,0.367868852
und4,undergrad,3,slow,213.6,0.700327869
und4,undergrad,4,fast,193.4,0.634098361
und4,undergrad,4,slow,162.9,0.534098361
und4,undergrad,5,fast,101.8,0.333770492
und4,undergrad,5,slow,126.9,0.416065574
und4,undergrad,6,fast,110,0.360655738
und4,undergrad,6,slow,136.2,0.446557377
und4,undergrad,7,slow,146,0.478688525
und4,undergrad,7,fast,126.5,0.414754098
und7,undergrad,1,fast,86.1,0.282295082
und7,undergrad,1,slow,99.1,0.324918033
und7,undergrad,2,fast,82.2,0.269508197
und7,undergrad,2,slow,104.3,0.341967213
und7,undergrad,3,fast,85.9,0.281639344
und7,undergrad,3,slow,110.2,0.361311475
und7,undergrad,4,fast,97.1,0.318360656
und7,undergrad,4,slow,120,0.393442623
und7,undergrad,5,fast,93.7,0.307213115
und7,undergrad,5,slow,102.9,0.337377049
und7,undergrad,6,fast,108.8,0.356721311
und7,undergrad,6,slow,108.2,0.354754098
und7,undergrad,7,slow,124.4,0.407868852
und7,undergrad,7,fast,107.6,0.352786885
phd2,phd,1,fast,232.7,0.76295082
phd2,phd,1,slow,231.3,0.758360656
phd2,phd,2,fast,246.3,0.807540984
phd2,phd,2,slow,259.7,0.85147541
phd2,phd,3,fast,289.4,0.948852459
phd2,phd,3,slow,301.8,0.989508197
phd2,phd,4,fast,243.2,0.797377049
phd2,phd,4,slow,296.2,0.971147541
phd2,phd,5,fast,277.7,0.910491803
phd2,phd,5,slow,294.2,0.964590164
phd2,phd,6,fast,208,0.681967213
phd2,phd,6,slow,225.9,0.740655738
phd2,phd,7,slow,281,0.921311475
phd2,phd,7,fast,227.2,0.744918033
und3,undergrad,1,fast,153.8,0.504262295
und3,undergrad,1,slow,188.8,0.619016393
und3,undergrad,2,fast,142.4,0.466885246
und3,undergrad,2,slow,199.7,0.654754098
und3,undergrad,3,fast,160.2,0.525245902
und3,undergrad,3,slow,186.1,0.610163934
und3,undergrad,4,fast,207.5,0.680327869
und3,undergrad,4,slow,190.9,0.625901639
und3,undergrad,5,fast,160.7,0.526885246
und3,undergrad,5,slow,156.5,0.513114754
und3,undergrad,6,fast,146.7,0.480983607
und3,undergrad,6,slow,158,0.518032787
und3,undergrad,7,slow,161.1,0.528196721
und3,undergrad,7,fast,153.3,0.502622951
